,Name,Classical,Rapid,Blitz
150,Nana Dzagnidze,2524,2447,2391
151,Gregory Serper,2522,0,0
152,Alexander G Beliavsky,2517,2631,0
153,Ulf Andersson,2516,2493,2467
154,Harika Dronavalli,2515,2450,2422
155,Tuan Minh Le,2514,2307,2450
156,Tan Zhongyi,2510,2501,2510
157,Lei Tingjie,2505,2527,2530
158,Maia Chiburdanidze,2500,2432,2437
159,Dinara Saduakassova,2500,2412,2378
160,Alina Kashlinskaya,2494,2384,2364
161,Eugene Perelshteyn,2494,0,0
162,Sarasadat Khademalsharieh,2494,2393,2431
163,Nino Batsiashvili,2491,2371,2286
164,Zhao Xue,2486,2442,2407
165,Alex Yermolinsky,2486,2520,2508
166,Polina Shuvalova,2484,2394,2299
167,Benjamin Finegold,2476,0,2501
168,Greg Shahade,2476,2476,0
169,Igor Glek,2475,2431,2383
170,Alexandra Kosteniuk,2474,2517,2521
171,Lela Javakhishvili,2473,2383,2332
172,Pontus Carlsson,2473,2436,2487
173,Natalia Pogonina,2472,2499,2311
174,Zhansaya Abdumalik,2472,2462,2380
175,Antoaneta Stefanova,2470,2461,2485
176,Lajos Portisch,2467,2426,0
177,Joshua Waitzkin,2464,0,0
178,Simon Williams,2464,2497,2468
179,Bela Khotenashvili,2463,2413,2320
180,Pia Cramling,2459,2396,2320
181,Zhu Jin'er,2459,2326,2249
182,Anastasia Bodnaruk,2457,2308,2415
183,Christopher Woojin Yoo,2455,1861,2009
184,Aman Hambleton,2454,2450,2552
185,Olga Girya,2451,2383,2297
186,Gunay Mammadzada,2443,2280,2242
187,Alisa Galliamova,2442,2356,2412
188,Irina Bulmaga,2440,2351,2252
189,Maurice Ashley,2440,0,0
190,Marie Sebag,2438,2413,2482
191,Meri Arabidze,2436,2434,2432
192,Roberto Molina,2434,2442,2402
193,Huang Qian,2433,2464,2311
194,Olga Badelka,2433,2254,2181
195,Ekaterina Atalik,2430,2419,2228
196,Carissa Yip,2430,0,1708
197,Irina Krush,2429,2392,2342
198,Batkhuyag Munguntuul,2428,2364,2285
199,Wang Jue,2426,2421,2378
200,Iulija Osmak,2425,2301,2149
201,Abhimanyu Mishra,2424,0,1682
202,Ding Yixin,2422,2349,2313
203,Monika Socko,2421,2321,2246
204,Ana Matnadze,2421,2361,2438
205,Valentina Gunina,2421,2499,2399
206,Anna Zatonskih,2420,2327,2331
207,Olga Alexandrova,2420,2406,2408
208,Nataliya Buksa,2419,2213,2214
209,Guo Qi,2418,2446,2338
210,Anna Ushenina,2416,2376,2387
211,Thanh Trang Hoang,2404,2338,2364
212,Daniel Rensch,2402,2399,0
213,Lawrence Trent,2399,2440,2474
214,Tania Sachdev,2392,2339,2280
215,Nazi Paikidze,2374,2402,2314
216,Tatev Abrahamyan,2358,0,2352
217,Levy Rozman,2343,2284,2376
218,Mike Klein,2326,0,0
219,Anna Rudolf,2325,0,0
220,Jennifer Shahade,2322,0,2294
221,Jennifer Yu,2312,1862,1936
222,Kevin Bordi,2288,0,0
223,Rusudan Goletiani,2278,0,0
224,Nona Gaprindashvili,2270,2199,2105
225,Luis Fernandez Siles,2256,2231,2212
226,Nemo Qiyu Zhou,2229,0,1925
227,Sabina-Francesca Foisor,2228,2312,2240
228,James Canty,2210,0,0
229,Alessia Carmen Santeramo,2160,2055,2058
230,Peter Doggers,2150,0,0
231,Sam Copeland,2132,0,0
232,Maria Emelianova,2113,2079,2102
233,Sean Senft,2039,0,1881
234,Anna Cramling Bellon,2035,1874,1905
235,Alexandra Botez,2020,0,2059
236,Antonio Radic,1949,1919,1877
237,Bartosz Rudecki,1846,1731,1743
238,Frank Johnson,1824,0,1868
239,Andrea Botez,1676,0,1763
240,Tuduetso Sabure,1649,1831,1873
241,Phiona Mutesi,1623,0,0
